admin_id,commodity,grown
AFG.14_1,Sugar cane,0
AFG.14_1,Sunflower seed,0
AFG.14_1,Sweet potatoes,0
AFG.14_1,Tea,0
AFG.14_1,Tomatoes ,0
AFG.14_1,"Vegetables, other",0
AFG.14_1,Wheat ,1
AFG.14_1,Yams,0
AFG.15_1,Apples ,1
AFG.15_1,Bananas,0
AFG.15_1,Barley ,1
AFG.15_1,Beans,0
AFG.15_1,Bovine Meat,1
AFG.15_1,Cassava ,0
AFG.15_1,"Cereals, Other",0
AFG.15_1,"Citrus, Other",0
AFG.15_1,Cloves,0
AFG.15_1,Cocoa Beans ,0
AFG.15_1,Coconuts,0
AFG.15_1,Coffee ,0
AFG.15_1,Dates,0
AFG.15_1,"Fruits, other",1
AFG.15_1,Grapefruit ,0
AFG.15_1,Grapes,1
AFG.15_1,Groundnuts,0
AFG.15_1,"Lemons, Limes ",0
AFG.15_1,Maize ,1
AFG.15_1,Millet ,1
AFG.15_1,Mutton & Goat Meat,1
AFG.15_1,Nuts ,1
AFG.15_1,Oats,0
AFG.15_1,"Oilcrops, Other",1
AFG.15_1,Olives,0
AFG.15_1,Onions,1
AFG.15_1,"Oranges, Mandarines",1
AFG.15_1,Palm Oil,0
AFG.15_1,Peas,0
AFG.15_1,Pepper,0
AFG.15_1,Pigmeat,0
AFG.15_1,Pimento,0
AFG.15_1,Pineapples ,0
AFG.15_1,Plantains,0
AFG.15_1,Potatoes ,1
AFG.15_1,Poultry Meat,1
AFG.15_1,"Pulses, Other ",1
AFG.15_1,Rape and Mustardseed,0
AFG.15_1,Rice ,1
AFG.15_1,"Roots, Other",0
AFG.15_1,Rye ,0
AFG.15_1,Sesame seed,1
AFG.15_1,Sorghum ,0
AFG.15_1,Soyabeans,0
AFG.15_1,"Spices, Other",0
AFG.15_1,Sugar beet,1
AFG.15_1,Sugar cane,1
AFG.15_1,Sunflower seed,0
AFG.15_1,Sweet potatoes,0
AFG.15_1,Tea,0
AFG.15_1,Tomatoes ,0
AFG.15_1,"Vegetables, other",1
AFG.15_1,Wheat ,1
AFG.15_1,Yams,0
AFG.16_1,Apples ,0
AFG.16_1,Bananas,0
AFG.16_1,Barley ,1
AFG.16_1,Beans,0
AFG.16_1,Bovine Meat,1
AFG.16_1,Cassava ,0
AFG.16_1,"Cereals, Other",0
AFG.16_1,"Citrus, Other",0
AFG.16_1,Cloves,0
AFG.16_1,Cocoa Beans ,0
AFG.16_1,Coconuts,0
AFG.16_1,Coffee ,0
AFG.16_1,Dates,0
AFG.16_1,"Fruits, other",0
AFG.16_1,Grapefruit ,0
AFG.16_1,Grapes,0
AFG.16_1,Groundnuts,0
AFG.16_1,"Lemons, Limes ",0
AFG.16_1,Maize ,1
AFG.16_1,Millet ,1
AFG.16_1,Mutton & Goat Meat,1
AFG.16_1,Nuts ,0
AFG.16_1,Oats,0
AFG.16_1,"Oilcrops, Other",0
AFG.16_1,Olives,0
AFG.16_1,Onions,0
AFG.16_1,"Oranges, Mandarines",0
AFG.16_1,Palm Oil,0
AFG.16_1,Peas,0
AFG.16_1,Pepper,0
AFG.16_1,Pigmeat,0
AFG.16_1,Pimento,0
AFG.16_1,Pineapples ,0
AFG.16_1,Plantains,0
AFG.16_1,Potatoes ,1
AFG.16_1,Poultry Meat,1
AFG.16_1,"Pulses, Other ",1
AFG.16_1,Rape and Mustardseed,0
AFG.16_1,Rice ,1
AFG.16_1,"Roots, Other",0
AFG.16_1,Rye ,0
AFG.16_1,Sesame seed,0
AFG.16_1,Sorghum ,0
AFG.16_1,Soyabeans,0
AFG.16_1,"Spices, Other",0
AFG.16_1,Sugar beet,0
AFG.16_1,Sugar cane,0
AFG.16_1,Sunflower seed,0
AFG.16_1,Sweet potatoes,0
AFG.16_1,Tea,0
AFG.16_1,Tomatoes ,0
AFG.16_1,"Vegetables, other",0
AFG.16_1,Wheat ,1
AFG.16_1,Yams,0
AFG.17_1,Apples ,1
AFG.17_1,Bananas,0
AFG.17_1,Barley ,1
AFG.17_1,Beans,0
AFG.17_1,Bovine Meat,1
AFG.17_1,Cassava ,0
AFG.17_1,"Cereals, Other",0
AFG.17_1,"Citrus, Other",0
AFG.17_1,Cloves,0
AFG.17_1,Cocoa Beans ,0
AFG.17_1,Coconuts,0
AFG.17_1,Coffee ,0
AFG.17_1,Dates,0
AFG.17_1,"Fruits, other",1
AFG.17_1,Grapefruit ,0
AFG.17_1,Grapes,1
AFG.17_1,Groundnuts,0
AFG.17_1,"Lemons, Limes ",0
AFG.17_1,Maize ,1
AFG.17_1,Millet ,1
AFG.17_1,Mutton & Goat Meat,1
AFG.17_1,Nuts ,1
AFG.17_1,Oats,0
AFG.17_1,"Oilcrops, Other",1
AFG.17_1,Olives,0
AFG.17_1,Onions,1
AFG.17_1,"Oranges, Mandarines",1
AFG.17_1,Palm Oil,0
AFG.17_1,Peas,0
AFG.17_1,Pepper,0
AFG.17_1,Pigmeat,0
AFG.17_1,Pimento,0
AFG.17_1,Pineapples ,0
AFG.17_1,Plantains,0
AFG.17_1,Potatoes ,1
AFG.17_1,Poultry Meat,1
AFG.17_1,"Pulses, Other ",1
AFG.17_1,Rape and Mustardseed,0
AFG.17_1,Rice ,1
AFG.17_1,"Roots, Other",0
AFG.17_1,Rye ,0
AFG.17_1,Sesame seed,1
AFG.17_1,Sorghum ,0
AFG.17_1,Soyabeans,0
AFG.17_1,"Spices, Other",0
AFG.17_1,Sugar beet,1
AFG.17_1,Sugar cane,0
AFG.17_1,Sunflower seed,0
AFG.17_1,Sweet potatoes,0
AFG.17_1,Tea,0
AFG.17_1,Tomatoes ,0
AFG.17_1,"Vegetables, other",1
AFG.17_1,Wheat ,1
AFG.17_1,Yams,0
AFG.18_1,Apples ,1
AFG.18_1,Bananas,0
AFG.18_1,Barley ,1
AFG.18_1,Beans,0
AFG.18_1,Bovine Meat,1
AFG.18_1,Cassava ,0
AFG.18_1,"Cereals, Other",0
AFG.18_1,"Citrus, Other",0
AFG.18_1,Cloves,0
AFG.18_1,Cocoa Beans ,0
AFG.18_1,Coconuts,0
AFG.18_1,Coffee ,0
AFG.18_1,Dates,0
AFG.18_1,"Fruits, other",1
AFG.18_1,Grapefruit ,0
